filename,RB,OB,PF,DE,FS,IS,RO,IN,AF,BE,FO,GR,PH,PB,OS,OP,OK
00000101.png,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00000282.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000367.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000849.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000869.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00001261.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00001768.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002545.png,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
00002688.png,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
00003075.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00003301.png,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
00003502.png,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
00003577.png,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
00003665.png,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
00004016.png,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
00004127.png,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
00004220.png,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
00004884.png,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00005479.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00005701.png,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00005738.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00006302.png,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00006558.png,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00006944.png,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00007157.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00007242.png,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
00007621.png,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
00007671.png,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00008779.png,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
00009050.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00009095.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00009448.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00009761.png,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
00010031.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00010134.png,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
00010603.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00010692.png,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
